Vertices, Edges, Average Degree, Name, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
31379,106578,6.79295,Graphs/graphs//as-caida_G_116.in,0.227364,0.2232,0.198844,0.19322
31379,106348,6.77829,Graphs/graphs//as-caida_G_117.in,0.227042,0.221272,0.199055,0.193605
31379,107202,6.83272,Graphs/graphs//as-caida_G_118.in,0.230209,0.222212,0.198194,0.190533
31379,106462,6.78556,Graphs/graphs//as-caida_G_119.in,0.226961,0.21958,0.200805,0.195596
31379,106510,6.78862,Graphs/graphs//as-caida_G_120.in,0.227656,0.217424,0.198893,0.193988
31379,106762,6.80468,Graphs/graphs//as-caida_G_121.in,0.22923,0.221038,0.199855,0.192537
31379,105722,6.73839,Graphs/graphs//as-caida_G_122.in,0.229111,0.223356,0.20097,0.193018
31379,106762,6.80468,Graphs/graphs//as-caida.in,0.226735,0.220228,0.19808,0.190865
29008,38416,2.64865,Graphs/graphs//aug2d.in,0.0767926,0.0773841,0.0727964,0.0705329
448695,3314611,14.7745,Graphs/graphs//auto.in,14.0172,13.4959,10.6518,10.3203
241666,598047,4.94937,Graphs/graphs//az2010.in,9.55951,10.0286,1.48646,1.50013
2048,4096,4,Graphs/graphs//bfly_G_06.in,0.00800689,0.00706049,0.00699918,0.0060961
4608,9216,4,Graphs/graphs//bfly_G_07.in,0.0230949,0.0223635,0.0145664,0.0132991
10240,20480,4,Graphs/graphs//bfly_G_08.in,0.0498907,0.0498018,0.0375467,0.0380995
22528,45056,4,Graphs/graphs//bfly_G_09.in,0.155065,0.159911,0.0838546,0.0816675
49152,98304,4,Graphs/graphs//bfly_G_10.in,0.400534,0.40206,0.209966,0.204179
49152,98304,4,Graphs/graphs//bfly.in,0.38819,0.400387,0.205076,0.202934
21701,42038,3.87429,Graphs/graphs//biplane-9.in,0.574323,0.597714,0.0677785,0.0669723
710145,1744683,4.9136,Graphs/graphs//ca2010.in,44.9986,44.7711,5.123,5.11688
5242,14496,5.53071,Graphs/graphs//ca-GrQc.in,0.0264853,0.0252193,0.0227856,0.0201228
192244,609066,6.33639,Graphs/graphs//caidaRouterLevel.in,2.39628,2.31636,1.76301,1.7072
2048,2816,2.75,Graphs/graphs//cca_G_06.in,0.00622431,0.00534093,0.00510892,0.00449863
4608,6400,2.77778,Graphs/graphs//cca_G_07.in,0.0147148,0.0136877,0.0100449,0.00884691
10240,14336,2.8,Graphs/graphs//cca_G_08.in,0.035831,0.0359147,0.0252744,0.0242343
22528,31744,2.81818,Graphs/graphs//cca_G_09.in,0.0949716,0.0960634,0.0562327,0.0551442
49152,69632,2.83333,Graphs/graphs//cca_G_10.in,0.278434,0.283204,0.146048,0.137724
49152,69632,2.83333,Graphs/graphs//cca.in,0.274375,0.276746,0.146469,0.138062
2048,3072,3,Graphs/graphs//ccc_G_06.in,0.00572071,0.00528717,0.00546862,0.00498143
4608,6912,3,Graphs/graphs//ccc_G_07.in,0.0136134,0.0129653,0.0122688,0.0101967
10240,15360,3,Graphs/graphs//ccc_G_08.in,0.0349305,0.0345964,0.0301579,0.0280131
49152,73728,3,Graphs/graphs//ccc_G_10.in,0.263097,0.273284,0.164612,0.160711
49152,73728,3,Graphs/graphs//ccc.in,0.28274,0.298455,0.174286,0.165782
268495,1156647,8.61578,Graphs/graphs//citationCiteseer.in,5.80569,5.42002,3.94603,3.7249
201062,487287,4.84713,Graphs/graphs//co2010.in,6.61179,6.66489,1.15915,1.18833
227320,814134,7.16289,Graphs/graphs//coAuthorsCiteseer.in,2.99939,2.92111,2.33783,2.24876
299067,977676,6.53817,Graphs/graphs//coAuthorsDBLP.in,4.47185,4.37376,3.15464,3.19599
31163,120029,7.7033,Graphs/graphs//cond-mat-2003.in,0.302497,0.286774,0.249612,0.240775
16726,47594,5.69102,Graphs/graphs//cond-mat.in,0.110259,0.108373,0.0956402,0.0922497
16840,48232,5.72827,Graphs/graphs//cti.in,0.135442,0.132644,0.0820973,0.0783809
2851,15093,10.5879,Graphs/graphs//data.in,0.0282958,0.0268675,0.0203856,0.0189054
326186,807700,4.95239,Graphs/graphs//dblp-2010.in,2.95084,3.02494,2.02576,2.04566
24115,58028,4.81261,Graphs/graphs//de2010.in,0.34471,0.353297,0.116477,0.112945
1024,3056,5.96875,Graphs/graphs//delaunay_n10.in,0.00593346,0.00503127,0.00633345,0.00486762
2048,6127,5.9834,Graphs/graphs//delaunay_n11.in,0.0121646,0.0111062,0.0102631,0.00897612
4096,12264,5.98828,Graphs/graphs//delaunay_n12.in,0.0254549,0.0242161,0.0202906,0.0180638
8192,24547,5.99292,Graphs/graphs//delaunay_n13.in,0.0592994,0.0594374,0.0437301,0.0410082
16384,49122,5.99634,Graphs/graphs//delaunay_n14.in,0.150704,0.151553,0.090454,0.0881984
32768,98274,5.99817,Graphs/graphs//delaunay_n15.in,0.413513,0.417594,0.191463,0.188412
65536,196575,5.99899,Graphs/graphs//delaunay_n16.in,1.11209,1.13204,0.412066,0.404125
131072,393176,5.99939,Graphs/graphs//delaunay_n17.in,2.71672,2.76519,0.885333,0.872764
262144,786396,5.99973,Graphs/graphs//delaunay_n18.in,7.79653,8.07491,1.99388,1.98879
6927,8472,2.44608,Graphs/graphs//Erdos02.in,0.0164383,0.0153552,0.0141946,0.0127962
5488,7085,2.582,Graphs/graphs//Erdos972.in,0.0133932,0.0123701,0.0125345,0.0106037
5822,7375,2.53349,Graphs/graphs//Erdos982.in,0.0148361,0.0137931,0.0123096,0.0114387
11143,32818,5.89033,Graphs/graphs//fe_4elt2.in,0.0951096,0.0953171,0.0559496,0.0558299
45087,163734,7.26302,Graphs/graphs//fe_body.in,0.36621,0.36617,0.268301,0.266292
143437,409593,5.71112,Graphs/graphs//fe_ocean.in,7.12807,7.33943,0.947222,0.935891
99617,662431,13.2996,Graphs/graphs//fe_rotor.in,1.89979,1.82019,1.538,1.52286
16386,49152,5.99927,Graphs/graphs//fe_sphere.in,0.0793509,0.0803356,0.0780084,0.0760246
78136,452591,11.5847,Graphs/graphs//fe_tooth.in,1.20434,1.21061,1.01383,1.0077
